uid,domainID,siteID,pitNamedLocation,pitID,horizonID,horizonName,setDate,collectDate,archiveID,archiveLaboratoryName,archiveTopDepth,archiveBottomDepth,remarks
"2bd070c7-7034-448c-bddd-204e2111aab1","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_2C1","2C1","2017-09-26","2017-09-26","D16_WREF_PIT1_ARCHIVE_94-136_2C1","NEON",94.0,136.0,
"4f008aa7-159c-4a4a-a3e2-0c44ac929cb5","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_3CG","3Cg","2017-09-26","2017-09-26","D16_WREF_PIT1_ARCHIVE_178-200_3CG","NEON",178.0,200.0,
"0e3639b0-4f9b-4418-8041-3cea502d9fcd","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_AC","Ac","2017-09-26","2017-09-26",,,,,
"39f78306-ff88-4aaa-82f9-02c7d57a6298","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_3AB","3AB","2017-09-26","2017-09-26","D16_WREF_PIT1_ARCHIVE_162-178_3AB","NEON",162.0,178.0,
"3f378bbb-0a98-46ba-9e50-c38f5ec3d606","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_AC","Ac","2017-09-26","2017-09-26",,,,,
"e7392ed0-65fe-4f54-bda6-16d35139cd4b","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_BC","BC","2017-09-26","2017-09-26","D16_WREF_PIT1_ARCHIVE_80-94_BC","NEON",80.0,94.0,
"c56c2145-8043-40f9-9ce6-420825063432","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_AC","Ac","2017-09-26","2017-09-26",,,,,
"b0d8c051-e843-40fa-9b5c-fa643146faab","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_OA","Oa","2017-09-26","2017-09-26","D16_WREF_PIT1_ARCHIVE_3-9_OA","NEON",3.0,9.0,
"218e428f-b83d-47ef-a54a-a66014eff095","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_OI","Oi","2017-09-26","2017-09-26","D16_WREF_PIT1_ARCHIVE_0-3_OI","NEON",0.0,3.0,
"270dddc7-bde4-4ad4-8b41-809cd4d0c487","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_BW","Bw","2017-09-26","2017-09-26","D16_WREF_PIT1_ARCHIVE_50-80_BW","NEON",50.0,80.0,
"5c33a4db-3093-478f-b231-ac8b11a69a4b","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_AC","Ac","2017-09-26","2017-09-26",,,,,
"343884b1-7c13-4127-b804-33be3e095e02","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_AC","Ac","2017-09-26","2017-09-26","D16_WREF_PIT1_ARCHIVE_9-50_AC","NEON",9.0,50.0,
"eb1f2d9a-4b84-445e-bc03-7862eb84a0ad","D16","WREF","MEGAPT112745","D16_WREF_PIT1","16_WREF_PIT1_2C2","2C2","2017-09-26","2017-09-26","D16_WREF_PIT1_ARCHIVE_136-162_2C2","NEON",136.0,162.0,
