"mean.max.canopy.ht.aop","max.canopy.ht.aop","rumple.aop","deepgaps.aop","deepgap.fraction.aop","cover.fraction.aop","top.rugosity.aop","vert.sd.aop","sd.sd.aop","entropy.aop","GFP.AOP.aop","VAI.AOP.aop","VCI.AOP.aop","all_SR","exotic_SR","Site.ID","Dominant.NLCD.Classes"
3.02166786349433,15.3796356669079,2.55539924578624,787,0.479878048780488,0.520121951219512,3.95022376585811,4.00566509478513,1.43954670632132,0.611308968367219,0.967531252163581,0.9325348574512,0.376092230378155,229,0,"NIWO","Evergreen Forest, Grassland/Herbaceous"
33.6775699287034,51.1327758149353,3.97376429944005,14,0.00875,0.99125,8.38340581599124,13.2656379706543,4.05141567395712,0.848842739882119,0.96520619205322,3.59168309202089,0.731819526732278,102,1,"WREF","Evergreen Forest"
3.48022313014504,12.9117359524977,1.37855070536248,750,0.46875,0.53125,4.44797662831672,4.27403847368916,1.63651798165351,0.546577417469502,0.96084011900793,0.887423390511328,0.313223850915202,329,17,"KONZ","Deciduous Forest, Grassland/Herbaceous"
3.61792768427445,22.6295677563464,2.59426369263606,1006,0.613414634146341,0.386585365853659,5.70970837717521,5.51155460142308,2.47543031466324,0.439829103916806,0.984235791848078,0.669887695069257,0.303528536828959,320,16,"YELL","Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
0.219616903266121,78.9128029399968,1.34987081915521,1131,0.706875,0.293125,3.0816030457067,1.71127594754336,0.0462810149092965,0.00216794189971821,0.999999643595409,0.000142566917407069,0.00233814549832603,162,23,"ONAQ","Evergreen Forest, Shrub/Scrub"
7.67157442121093,11.7554389546926,1.40893459503434,8,0.005,0.995,1.99961161276224,3.41137595926696,1.75600289098356,0.920042242486043,0.835915622500485,3.30835604423641,0.496446166831269,NA,NA,"CUPE","Evergreen Forest"
2.73119748375425,78.9987751935562,1.8938967566181,790,0.49375,0.50625,4.28620544827658,3.33921403803265,0.190095612162729,0.321178598277129,0.996766371467669,0.790549717147301,0.334991481427706,194,44,"SJER","Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
4.20236254107527,12.6860621688624,1.59394189199957,367,0.223780487804878,0.776219512195122,3.97015745565374,3.68498671844999,1.20388162723744,0.812806977716771,0.941863440494588,1.20722407354536,0.452710464768104,417,20,"CLBJ","Deciduous Forest, Grassland/Herbaceous"
9.26251438675317,19.38490122167,2.19798584539877,10,0.00625,0.99375,4.7817955946882,5.48442170539425,2.59931537725817,0.919999748335057,0.925222371278122,2.67534089346717,0.598473634293612,431,9,"OSBS","Emergent Herbaceous Wetlands, Evergreen Forest, Woody Wetlands"
2.46733894464914,21.5581589117977,2.01246300795932,185,0.115625,0.884375,4.0173700865106,4.14522812392205,0.914767886636965,0.420687125056147,0.993248853488107,0.271422120619675,0.286430684221585,399,12,"TALL","Deciduous Forest, Evergreen Forest, Mixed Forest"
18.0446140425682,32.5842878375788,3.79065356526752,32,0.02,0.98,8.37635538654349,9.37433425852401,4.87004792664391,0.92442152600446,0.94336658131636,3.54360573097993,0.701873486780481,266,16,"HARV","Deciduous Forest, Evergreen Forest, Mixed Forest, Woody Wetlands"
